LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.5711687803268433, 0.2673244774341583]","[0.4760696589946747, 0.29748135805130005]","[0.5455834865570068, 0.6819980144500732]","[0.48571884632110596, 0.6729871034622192]","[0.5554095506668091, 0.766389787197113]","[0.5724201798439026, 0.5353100299835205]"
"[0.5716590881347656, 0.2663184106349945]","[0.47361549735069275, 0.2976008355617523]","[0.545592725276947, 0.6895464658737183]","[0.48256760835647583, 0.6856655478477478]","[0.5556508898735046, 0.7696324586868286]","[0.572616457939148, 0.5342413783073425]"
"[0.5719212293624878, 0.2654089629650116]","[0.4732784628868103, 0.2975797951221466]","[0.5451309084892273, 0.6956543326377869]","[0.4801366925239563, 0.6921265721321106]","[0.5581871867179871, 0.7730295658111572]","[0.5727569460868835, 0.5317559242248535]"
"[0.5721794962882996, 0.26439616084098816]","[0.47319260239601135, 0.29748842120170593]","[0.5447274446487427, 0.6976943016052246]","[0.47889962792396545, 0.695391833782196]","[0.5612197518348694, 0.7735006809234619]","[0.5728972554206848, 0.5300316214561462]"
"[0.5724665522575378, 0.26326459646224976]","[0.4732285141944885, 0.2973231375217438]","[0.5445992946624756, 0.698870062828064]","[0.4789794683456421, 0.6969191431999207]","[0.5634869933128357, 0.7742932438850403]","[0.5730364918708801, 0.5283330082893372]"
"[0.5726169347763062, 0.26305875182151794]","[0.4730167090892792, 0.29750367999076843]","[0.5436274409294128, 0.7013741731643677]","[0.4780280292034149, 0.699292004108429]","[0.5645107626914978, 0.7749048471450806]","[0.5730510950088501, 0.5281874537467957]"
"[0.5727106332778931, 0.26305273175239563]","[0.4727824330329895, 0.29751113057136536]","[0.542746365070343, 0.7018697261810303]","[0.47742709517478943, 0.6997274160385132]","[0.565198540687561, 0.7761953473091125]","[0.5730510950088501, 0.5282546877861023]"
"[0.5731201171875, 0.263046532869339]","[0.4723333418369293, 0.2973228991031647]","[0.5435096621513367, 0.7019888162612915]","[0.47754713892936707, 0.6999871134757996]","[0.5650110840797424, 0.7763195633888245]","[0.5732342600822449, 0.5277734398841858]"
"[0.5733829140663147, 0.26304465532302856]","[0.47184526920318604, 0.2955762445926666]","[0.5434539914131165, 0.703158974647522]","[0.4766296148300171, 0.7013718485832214]","[0.5629289150238037, 0.7737885117530823]","[0.5732591152191162, 0.5264191627502441]"
"[0.5735244750976562, 0.2633979916572571]","[0.47185787558555603, 0.29390275478363037]","[0.5429760813713074, 0.7090132832527161]","[0.4761559069156647, 0.7063988447189331]","[0.5546881556510925, 0.7728868126869202]","[0.5731251239776611, 0.5271793007850647]"
"[0.5737221837043762, 0.26348379254341125]","[0.4718663990497589, 0.29120224714279175]","[0.54257732629776, 0.709601104259491]","[0.47556036710739136, 0.7071159482002258]","[0.5481470227241516, 0.7610053420066833]","[0.5731213092803955, 0.5251087546348572]"
"[0.5742624402046204, 0.26370054483413696]","[0.471712201833725, 0.29117363691329956]","[0.5432337522506714, 0.7121617794036865]","[0.47565871477127075, 0.7088358402252197]","[0.537784218788147, 0.7512072920799255]","[0.5730670690536499, 0.5251246094703674]"
"[0.5744904279708862, 0.26398637890815735]","[0.47170475125312805, 0.28998085856437683]","[0.5432385802268982, 0.7121875882148743]","[0.4756726026535034, 0.7080549001693726]","[0.5313511490821838, 0.7365620732307434]","[0.5729677677154541, 0.5245212912559509]"
"[0.5745006799697876, 0.2640480399131775]","[0.4718535244464874, 0.28819260001182556]","[0.5432145595550537, 0.7118663787841797]","[0.47574424743652344, 0.7074982523918152]","[0.5254526734352112, 0.7178703546524048]","[0.5725824236869812, 0.5226370096206665]"
"[0.5743737816810608, 0.2643996775150299]","[0.47208377718925476, 0.28587818145751953]","[0.5421369075775146, 0.7119555473327637]","[0.4753403961658478, 0.7071576118469238]","[0.520795464515686, 0.7007451057434082]","[0.5725680589675903, 0.5218986868858337]"
"[0.5741994380950928, 0.26462826132774353]","[0.47219163179397583, 0.28363242745399475]","[0.5408207178115845, 0.7119169235229492]","[0.4749943017959595, 0.7069116234779358]","[0.5140222907066345, 0.6888598203659058]","[0.5725805163383484, 0.5219186544418335]"
"[0.5741123557090759, 0.2647741138935089]","[0.47224652767181396, 0.28311142325401306]","[0.5400722026824951, 0.7118934988975525]","[0.4744933247566223, 0.7066802978515625]","[0.5122135877609253, 0.6868245601654053]","[0.5725137591362, 0.521928071975708]"
"[0.574019730091095, 0.2647823393344879]","[0.4729903042316437, 0.2829015254974365]","[0.5399861931800842, 0.7117672562599182]","[0.47438663244247437, 0.7065274119377136]","[0.508087694644928, 0.669975221157074]","[0.5730265974998474, 0.5215721130371094]"
